Change Component Footprint: Designator=C1 Old Footprint=CAP TH ALUM ELEC D6.30mm S2.50mm H12.50mm New Footprint=CAP ALSMD 8.3MM H10.5MM
Change Component Comment : Designator=C1 Old Comment=56µF New Comment=56uF
Change Component Designator: OldDesignator=L? NewDesignator=L1
Change Component Designator: OldDesignator=PS? NewDesignator=PS1
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAP TH ALUM ELEC D6.30mm S2.50mm H12.50mm"; UniqueID = "\EBGTLTUP" ("\EBGTLTUP")
Change component parameters (AddParameter): Name = "Applications"; Value = "Automotive"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1200 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/TPV.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/rubycon/6-3TPV1200M8X10-5/15667730"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "80mOhm @ 100kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.413" (10.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "3.02.2024 21:45:22"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp."; Value = "2000 Hrs @ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "Rubycon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "6.3TPV1200M8X10.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "27638"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarization"; Value = "Polar"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.35"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ High Frequency"; Value = "850 mA @ 100 kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current @ Low Frequency"; Value = "510 mA @ 120 Hz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "TPV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.315" Dia (8.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1189-6.3TPV1200M8X10.5-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Surface Mount Land Size"; Value = "0.327" L x 0.327" W (8.30mm x 8.30mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "value"; Value = "1200 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "6.3 V"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=NetPS?_1 New Net Name=NetPS1_1
Change Net Name : Old Net Name=NetPS?_2 New Net Name=NetPS1_2
